last,first,current,grad,undergrad,year,h_score,citations
Chassang,Sylvain,Princeton,Ecole Normale Superieure,MIT,2007,8,464
Currie,Janet,Princeton,University of Toronto,Princeton,1988,NA,NA
Deaton,Angus,Princeton,Cambridge,Cambridge,1974,95,56279
De Loecker,Janet,Princeton,K.U. Brussel,K.U. Leuven,2006,NA,NA
Dobbie,Will,Princeton,Kalamazoo College,Harvard,2013,8,755
Evdokimov,Kirill,Princeton,Moscow Institute of Physics and Technology,Yale,2010,NA,NA
Farber,Henry,Princeton,Rensselaer Polytechnic Institute,Princeton,1977,NA,NA
Farboodi,Maryam,Princeton,Sharif University of Technology,University of Chicago,2014,NA,NA
Fujiwara,Thomas,Princeton,University of Sao Paulo,University of Britich Columbia,2011,8,277
Golosov,Mikhail,Princeton,Belarus State Economic University,University of Minnesota,2004,NA,NA
Grossman,Gene,Princeton,Yale,MIT,1980,75,58733
Gul,Faruk,Princeton,Bogazici University,Princeton,1981,NA,NA
Haddad,Valentin,Princeton,Ecole Polytechnique,University of Chicago,2012,NA,NA
Hong,Harrison,Princeton,Berkeley,MIT,1997,33,15754
Honore,Bo,Princeton,University of Aarhus,University of Chicago,1983,NA,NA
Itskhoki,Oleg,Princeton,Moscow Statue University,Harvard,2009,14,2166
Kalouptsidi,Myrto,Princeton,University of Athens,Yale,2011,2,53
Kaplan,Greg,Princeton,Macquarie University,NYU,2009,14,1073
Kastl,Jakub,Princeton,"Charles University, Prague",Northwestern,2006,9,354
Kolesar,Michal,Princeton,Trinity College Dublin,Harvard,2013,3,139
Krueger,Alan,Princeton,Cornell,Harvard,1987,94,59374
Kuziemko,Ilyana,Princeton,Harvard,Harvard,2007,NA,NA
Lee ,David,Princeton,Harvard,Princeton,1999,72,45807
Mas,Alexandre,Princeton,Macalester College,Princeton,2004,11,2088
Mian,Atif,Princeton,MIT,MIT,2001,26,6884
Moll,Benjamin,Princeton,University College London,University of Chicago,2010,10,654
Morales,Eduardo,Princeton,Universidad Coarlos III de Madrid,Harvard,2011,20,1558
Morris,Stephen,Princeton,Cambridge,Yale,1991,49,14447
Muller,Ulrich,Princeton,???,"University of Sankt Gallen, Switzerland",2002,49,9172
Neilson,Christopher,Princeton,University of Chile,Yale,2014,11,599
Oberfield,Ezra,Princeton,Yale,University of Chicago,2010,5,135
Pesendorfer,Wolfgang,Princeton,,,,NA,NA
Redding,Stephen,Princeton,Oxford,Oxford,1996,48,15548
Reinhardt,Uwe,Princeton,University of Saskatchewan,Yale,1970,NA,NA
Rogerson,Richard,Princeton,University of Alberta,University of Minnesota,1984,NA,NA
Rosen,Harvey,Princeton,University of Michigan,Harvard,1974,NA,NA
Rossi-Hansberg,Esteban,Princeton,"ITAM, Mexico",University of Chicago,2002,30,5536
Sannikov,Yuliy,Princeton,Princeton,Stanford,2004,NA,NA
Shapiro,Harold,Princeton,McGill,Princeton,1964,NA,NA
Shin,Hyun-Song,Princeton,Oxford,Oxford,1987,73,22919
Sims,Christopher,Princeton,Harvard,Harvard,1968,68,43891
Vogl,Tom,Princeton,Princeton,Harvard,2011,27,2112
Watson,Mark,Princeton,California State University Northridge,UC San Diego,1980,20,1578
Willig,Robert,Princeton,Harvard,Stanford,1973,NA,NA
Xandri,Juan,Princeton,Universidad de Montevideo,MIT,2013,NA,NA
Xiong,Wei,Princeton,University of Science and Technology of China,Duke,2001,29,7256
Yogo,Motohiro,Princeton,Harvard,Harvard,2004,20,9180
Abramitzky,Ran,Stanford,Hebrew University,Northwestern,2005,NA,NA
Auclert,Adrien,Stanford,Ecole ,MIT,2007,2,39
Bagwell,Kyle,Stanford,Southern Methodist University,Stanford,1986,47,10317
Bernheim,Douglas,Stanford,Harvard,MIT,1982,58,22902
Bloom,Nicholas,Stanford,Cambridge,UCL,2001,41,14508
Boskin,Michael,Stanford,Berkeley,Berkeley,1971,NA,NA
Carroll,Gabriel,Stanford,Harvard,MIT,2012,NA,NA
