Last,First,Current,Undergrad,Grad,Year grad school completion
Honore,Bo,Princeton,University of Aarhus,University of Chicago,1983
Itskhoki,Oleg,Princeton,Moscow Statue University,Harvard,2009
Kalouptsidi,Myrto,Princeton,University of Athens,Yale,2011
Kaplan,Greg,Princeton,Macquarie University,NYU,2009
Kastl,Jakub,Princeton,"Charles University, Prague",Northwestern,2006
Kolesar,Michal,Princeton,Trinity College Dublin,Harvard,2013
Krueger,Alan,Princeton,Cornell,Harvard,1987
Kuziemko,Ilyana,Princeton,Harvard,Harvard,2007
Lee ,David,Princeton,Harvard,Princeton,1999
Mas,Alexandre,Princeton,Macalester College,Princeton,2004
Mian,Atif,Princeton,MIT,MIT,2001
Moll,Benjamin,Princeton,University College London,University of Chicago,2010
Morales,Eduardo,Princeton,Universidad Coarlos III de Madrid,Harvard,2011
Morris,Stephen,Princeton,Cambridge,Yale,1991
Muller,Ulrich,Princeton,???,"University of Sankt Gallen, Switzerland",2002
Neilson,Christopher,Princeton,University of Chile,Yale,2014
Oberfield,Ezra,Princeton,Yale,University of Chicago,2010
Pesendorfer,Wolfgang,Princeton,,,
Redding,Stephen,Princeton,Oxford,Oxford,1996
Reinhardt,Uwe,Princeton,University of Saskatchewan,Yale,1970
Rogerson,Richard,Princeton,University of Alberta,University of Minnesota,1984
Rosen,Harvey,Princeton,University of Michigan,Harvard,1974
Rossi-Hansberg,Esteban,Princeton,"ITAM, Mexico",University of Chicago,2002
Sannikov,Yuliy,Princeton,Princeton,Stanford,2004
Shapiro,Harold,Princeton,McGill,Princeton,1964
Shin,Hyun-Song,Princeton,Oxford,Oxford,1987
Sims,Christopher,Princeton,Harvard,Harvard,1968
Vogl,Tom,Princeton,Princeton,Harvard,2011
Watson,Mark,Princeton,California State University Northridge,UC San Diego,1980
Willig,Robert,Princeton,Harvard,Stanford,1973
Xandri,Juan,Princeton,Universidad de Montevideo,MIT,2013
Xiong,Wei,Princeton,University of Science and Technology of China,Duke,2001
Yogo,Motohiro,Princeton,Harvard,Harvard,2004
Abramitzky,Ran,Stanford,Hebrew University,Northwestern,2005
Auclert,Adrien,Stanford,Ecole ,MIT,2007
Bagwell,Kyle,Stanford,Southern Methodist University,Stanford,1986
Bernheim,Douglas,Stanford,Harvard,MIT,1982
Bloom,Nicholas,Stanford,Cambridge,UCL,2001
Boskin,Michael,Stanford,Berkeley,Berkeley,1971
Carroll,Gabriel,Stanford,Harvard,MIT,2012
Chandrasekhar,Arun,Stanford,Columbia,MIT,2012
Chetty,Raj,Stanford,Harvard,Harvard,2003
Dickstein,Michael,Stanford,Cornell,Harvard,2005
Duggan,Mark,Stanford,MIT,Harvard,1999
Dupas,Pascaline,Stanford,Ecole ,EHESS,1999
Einav,Liran,Stanford,Tel Aviv,Harvard,2002
Gentzkow,Matthew,Stanford,Harvard,Harvard,2004
Goulder,Lawrence,Stanford,Harvard,Stanford,1982
Greif,Avner,Stanford,Tel Aviv,Northwestern,1989
Hall,Robert,Stanford,Berkeley,MIT,NA
Hong,Han,Stanford,Zhongshan University,Stanford,1988
Hoxby,Caroline,Stanford,Harvard,MIT,1994
Jackson,Matthew,Stanford,Princeton,Stanford,1988
Jarosch,Gregor,Stanford,University of Tuebingen,UChicago,2015
Kehoe,Patrick,Stanford,Providence College,Harvard,1986
Klenoe,Pete,Stanford,Berkeley,Stanford,1991
Kojima,Fuhito,Stanford,University of Tokyo,Harvard,2008
Kurlat,Pablo,Stanford,Universidad Torcuato Di Tella,MIT,2010
Larsen,Brad,Stanford,Brigham Young,MIT,2013
Levin,Jonathan,Stanford,Stanford,MIT,1999
Manova,Kalina,Stanford,Harvard,Harvard,2007
Milgrom,Paul,Stanford,Michigan,Stanford,1979
Niederle,Muirel,Stanford,University of Vienna,Harvard,2002
Pencavel,John,Stanford,UCL,Princeton,1969
Persson ,Petra,Stanford,Stockholm University,Columbia,2013
Piazzesi,Monika,Stanford,Univeristy of Heidelberg,Stanford,2000
Pistaferri,Luigi,Stanford,IUN,IUN,2001
Romano,Joseph,Stanford,Princeton,Berkeley,1986
